Country_x,ISO3,Year,GHG_Emissions,GDP_USD,Country_y,Unit,Population,GDPperCapita,GHGperCapita,Emission_Intensity,ln_GDPpc,ln_Emissions_pc,income_group
Algeria,DZA,1999,145380.42007316,48640671734.9711,Algeria,Persons,30474354.0,1596.1182223902465,0.004770582505970758,2.988865385439077e-06,7.37532984944575,-5.3452868628856125,Lower-Middle
Algeria,DZA,2000,153676.18649858,54790398570.3282,Algeria,Persons,30903893.0,1772.9286912276134,0.004972712871435971,2.804801397845708e-06,7.480388085991626,-5.303789738411689,Lower-Middle
Algeria,DZA,2001,142934.11658996,59413400923.6364,Algeria,Persons,31331221.0,1896.30020878013,0.004562034674293734,2.4057555091598302e-06,7.547660008245038,-5.389986554470672,Lower-Middle
Algeria,DZA,2002,142318.80278096,61516103406.1688,Algeria,Persons,31750835.0,1937.464114130189,0.0044823640947068005,2.3135210928637646e-06,7.569135239316715,-5.407604672028434,Lower-Middle
Algeria,DZA,2003,155936.34684928,73482264190.9245,Algeria,Persons,32175818.0,2283.772993461254,0.004846383294724007,2.122095019338545e-06,7.733584175933268,-5.329522564642602,Lower-Middle
Algeria,DZA,2004,153916.94666628,91913680985.1708,Algeria,Persons,32628286.0,2816.993849605548,0.004717285690896543,1.674581466181435e-06,7.943425584560375,-5.3565217102862706,Lower-Middle
Algeria,DZA,2005,158964.05194278,107046618669.707,Algeria,Persons,33109249.0,3233.1333963421216,0.004801197754222091,1.4849983485537695e-06,8.08120703772858,-5.3388898600666534,Lower-Middle
Algeria,DZA,2006,167197.88111493,123084258693.01,Algeria,Persons,33623506.0,3660.661047453231,0.004972648632029331,1.3584018207555346e-06,8.205399024144917,-5.303802656877573,Lower-Middle
Algeria,DZA,2007,166847.5133304,142482739809.849,Algeria,Persons,34189416.0,4167.451699375298,0.004880092521334672,1.1710015792303483e-06,8.335060024725824,-5.322591100006915,Lower-Middle
Algeria,DZA,2008,174858.94715926,180383848331.135,Algeria,Persons,34816961.0,5180.918815146876,0.005022234627521339,9.693714197640754e-07,8.552737696965492,-5.293880299401539,Upper-Middle
Algeria,DZA,2009,170941.36099985,150317292079.359,Algeria,Persons,35490445.0,4235.429904566116,0.004816546002729749,1.1372035687657456e-06,8.351240114228373,-5.33569820474198,Lower-Middle
